No;rgb_b1;rgb_b2;rgb_b3;green_b1;green_b2;ndvi_b1;nir_b1;nir_b2;red_b1;red_b2;redEdge_b1;redEdge_b2;Label
65;1.601.838.062;1.517.152.941;1.328.891.349;166.351.272;2.522.138.408;10.388.776;1.962.624.083;2.522.138.408;1.190.968.055;2.522.138.408;2.011.877.301;2.522.138.408;3
67;1.234.521.799;1.173.301.038;9.514.782.007;1.491.111.336;2.522.138.408;10.305.073;2.021.462.284;2.522.138.408;1.122.030.021;2.522.138.408;1.923.010.298;2.522.138.408;3
68;1.260.267.128;1.205.572.318;9.896.692.042;1.500.265.467;2.522.138.408;10.400.847;2.141.935.391;2.522.138.408;1.070.671.599;2.522.138.408;2.011.016.567;2.522.138.408;3
69;1.300.120.415;128.723.737;1.064.937.024;1.549.622.962;2.522.138.408;10.547.122;2.627.214.962;2.522.138.408;999.276.083;2.522.138.408;23.987.351;2.522.138.408;3
70;1.401.550.173;1.390.334.948;1.169.550.173;1.551.631.972;2.522.138.408;10.567.096;2.996.113.232;2.522.138.408;1.013.343.294;2.522.138.408;2.805.865.287;2.522.138.408;3
71;1.430.261.592;1.435.353.633;120.740.346;1.540.301.633;2.522.138.408;10.554.696;3.047.307.571;2.522.138.408;1.030.670.976;2.522.138.408;2.960.399.875;2.522.138.408;3
74;1.482.878.893;1.474.384.775;1.263.128.028;1.571.454.311;2.522.138.408;10.557.492;2.716.860.291;2.522.138.408;1.059.539.931;2.522.138.408;2.664.626.657;2.522.138.408;3
75;1.511.575.087;1.478.714.187;1.272.667.128;1.628.217.952;2.522.138.408;10.510.882;2.467.263.239;2.522.138.408;1.091.482.118;2.522.138.408;2.460.523.557;2.522.138.408;3
77;1.460.307.266;1.475.692.734;1.241.720.415;1.619.405.952;2.522.138.408;10.378.219;207.647.164;2.522.138.408;1.147.934.754;2.522.138.408;2.057.050.035;2.522.138.408;3
78;1.571.414.533;1.503.357.785;1.322.047.059;1.604.780.443;2.522.138.408;10.348.165;1.893.823.972;2.522.138.408;1.181.506.311;2.522.138.408;1.909.615.543;2.522.138.408;3
80;1.230.455.363;1.241.378.547;9.498.712.803;1.590.112.609;2.522.138.408;10.348.648;2.586.902.713;2.522.138.408;1.100.369.938;2.522.138.408;2.400.201.301;2.522.138.408;3
81;1.118.153.633;117.449.827;891.716.263;152.823.636;2.522.138.408;10.467.055;2.468.618.228;2.522.138.408;1.014.757.439;2.522.138.408;2.295.306.727;2.522.138.408;3
82;1.285.878.201;127.632.526;1.055.348.097;1.492.200.484;2.522.138.408;10.552.182;2.547.707.308;2.522.138.408;977.857.564;2.522.138.408;2.337.327.446;2.522.138.408;3
83;1.364.668.512;136.855.917;1.143.097.578;1.516.547.682;2.522.138.408;10.569.245;2.813.270.768;2.522.138.408;9.937.485.121;2.522.138.408;2.655.071.875;2.522.138.408;3
84;1.421.552.941;1.417.280.277;1.208.870.588;1.504.454.381;2.522.138.408;10.604.722;307.625.326;2.522.138.408;9.688.807.474;2.522.138.408;2.963.739.308;2.522.138.408;3
86;1.460.593.772;1.472.707.266;1.260.488.581;1.500.855.336;2.522.138.408;10.609.283;3.061.701.481;2.522.138.408;961.399.045;2.522.138.408;2.999.466.768;2.522.138.408;3
87;1.490.798.616;1.487.984.775;1.280.817.993;1.513.401.979;2.522.138.408;10.599.631;2.887.654.547;2.522.138.408;9.729.268.927;2.522.138.408;2.797.982.187;2.522.138.408;3
88;1.492.726.644;1.479.408.997;1.277.235.986;1.551.835.003;2.522.138.408;10.582.915;2.666.943.903;2.522.138.408;9.930.258.962;2.522.138.408;2.589.683.765;2.522.138.408;3
89;1.469.492.042;1.469.006.228;1.271.233.218;1.603.226.464;2.522.138.408;1.060.801;2.681.787.031;2.522.138.408;9.864.542.284;2.522.138.408;2.606.539.349;2.522.138.408;3
90;1.480.181.315;1.485.912.803;1.275.815.917;1.599.541.716;2.522.138.408;10.357.143;2.214.128.415;2.522.138.408;1.124.152.249;2.522.138.408;2.209.814.145;2.522.138.408;3
91;1.547.986.159;1.525.824.221;1.356.303.114;1.710.100.388;2.522.138.408;10.555.222;2.894.620.498;2.522.138.408;1.015.472.664;2.522.138.408;2.844.773.522;2.522.138.408;3
93;1.239.186.159;1.261.141.869;9.724.124.567;1.730.553.744;2.522.138.408;10.407.745;2.908.357.052;2.522.138.408;1.132.437.495;2.522.138.408;2.725.397.453;2.522.138.408;3
94;1.187.980.623;1.193.541.869;9.519.460.208;1.440.032.194;2.522.138.408;10.566.252;2.676.779.571;2.522.138.408;9.281.226.298;2.522.138.408;2.437.246.754;2.522.138.408;3
95;1.270.764.014;1.270.548.097;1.073.307.958;1.417.594.616;2.522.138.408;10.564.521;2.446.972.734;2.522.138.408;9.585.010.796;2.522.138.408;2.286.980.803;2.522.138.408;3
96;1.346.599.308;1.352.650.519;1.152.593.772;1.450.056.664;2.522.138.408;1.056.696;2.573.556.249;2.522.138.408;9.644.072.249;2.522.138.408;244.646.537;2.522.138.408;3
97;1.419.565.398;1.400.606.228;121.177.301;1.488.876.554;2.522.138.408;105.708.885;2.815.621.522;2.522.138.408;9.728.176.194;2.522.138.408;2.747.986.367;2.522.138.408;3
98;1.442.256.055;144.833.218;1.243.479.585;1.494.537.149;2.522.138.408;10.592.398;2.945.065.246;2.522.138.408;9.573.722.907;2.522.138.408;2.927.780.747;2.522.138.408;3
99;1.464.625.606;1.477.982.007;1.295.312.111;151.355.391;2.522.138.408;10.581.542;2.948.877.799;2.522.138.408;9.696.863.391;2.522.138.408;2.957.229.619;2.522.138.408;3
